,sentiment values
988,0.55556
989,0.5
990,0.51389
991,0.51389
992,0.75
993,0.5
994,0.43056
995,0.5
996,0.44444
997,0.47222
998,0.5
999,0.73611
1000,0.69444
1001,0.61111
1002,0.5
1003,0.48611
1004,0.45833
1005,0.25
1006,0.15278
1007,0.36111
1008,0.48611
1009,0.19444
1010,0.5
1011,0.51389
1012,0.5
1013,0.73611
1014,0.33333
1015,0.27778
1016,0.30556
1017,0.5
1018,0.625
1019,0.72222
1020,0.41667
1021,0.23611
1022,0.33333
1023,0.5
1024,0.34722
1025,0.54167
1026,0.68056
1027,0.58333
1028,0.25
1029,0.5
1030,0.66667
1031,0.55556
1032,0.56944
1033,0.80556
1034,0.55556
1035,0.29167
1036,0.38889
1037,0.54167
1038,0.38889
1039,0.5
1040,0.5
1041,0.5
1042,0.51389
1043,0.54167
1044,0.51389
1045,0.55556
1046,0.43056
1047,0.5
1048,0.27778
1049,0.45833
1050,0.34722
1051,0.18056
1052,0.38889
1053,0.33333
1054,0.66667
1055,0.83333
1056,0.5
1057,0.375
1058,0.44444
1059,0.52778
1060,0.72222
1061,0.63889
1062,0.23611
1063,0.23611
1064,0.83333
1065,0.66667
1066,0.63889
1067,0.5
1068,0.58333
1069,0.5
1070,0.45833
1071,0.625
1072,0.58333
1073,0.40278
1074,0.47222
1075,0.45833
1076,0.5
1077,0.30556
1078,0.52778
1079,0.55556
1080,0.44444
1081,0.59722
1082,0.5
1083,0.38889
1084,0.29167
1085,0.59722
1086,0.375
1087,0.19444
1088,0.25
1089,0.27778
1090,0.41667
1091,0.5
1092,0.52778
1093,0.80556
1094,0.59722
1095,0.52778
1096,0.45833
1097,0.40278
1098,0.40278
1099,0.5
1100,0.51389
1101,0.48611
1102,0.40278
1103,0.68056
1104,0.68056
1105,0.52778
1106,0.66667
1107,0.48611
1108,0.5
1109,0.43056
1110,0.375
1111,0.30556
1112,0.44444
1113,0.5
1114,0.33333
1115,0.20833
1116,0.375
1117,0.5
1118,0.33333
1119,0.52778
1120,0.5
1121,0.19444
1122,0.5
1123,0.44444
1124,0.5
1125,0.5
1126,0.5
1127,0.27778
1128,0.40278
1129,0.48611
1130,0.36111
1131,0.58333
1132,0.31944
1133,0.51389
1134,0.44444
1135,0.44444
1136,0.5
1137,0.40278
1138,0.34722
1139,0.44444
1140,0.27778
1141,0.61111
1142,0.25
1143,0.5
1144,0.63889
1145,0.43056
1146,0.33333
1147,0.5
1148,0.38889
1149,0.29167
1150,0.375
1151,0.51389
1152,0.47222
1153,0.44444
1154,0.5
1155,0.31944
1156,0.51389
1157,0.77778
1158,0.55556
1159,0.5
1160,0.61111
1161,0.5
1162,0.69444
1163,0.5
1164,0.48611
1165,0.36111
1166,0.40278
1167,0.38889
1168,0.56944
1169,0.58333
1170,0.44444
1171,0.375
1172,0.72222
1173,0.83333
1174,0.5
1175,0.375
1176,0.40278
1177,0.63889
1178,0.5
1179,0.29167
1180,0.125
1181,0.45833
1182,0.33333
1183,0.5
1184,0.55556
1185,0.44444
1186,0.33333
1187,0.44444
1188,0.38889
1189,0.27778
1190,0.125
1191,0.41667
1192,0.66667
1193,0.54167
1194,0.33333
1195,0.5
1196,0.51389
1197,0.40278
1198,0.125
1199,0.56944
1200,0.52778
1201,0.38889
1202,0.5
1203,0.5
1204,0.5
1205,0.5
1206,0.44444
1207,0.625
1208,0.38889
1209,0.44444
1210,0.44444
1211,0.65278
1212,0.44444
1213,0.33333
1214,0.5
1215,0.5
1216,0.29167
1217,0.041667
1218,0.55556
1219,0.23611
1220,0.27778
1221,0.54167
1222,0.38889
1223,0.48611
1224,0.56944
1225,0.61111
1226,0.5
1227,0.5
1228,0.55556
1229,0.76389
1230,0.91667
1231,0.5
1232,0.76389
1233,0.76389
1234,0.27778
1235,0.27778
1236,0.72222
1237,0.73611
1238,0.5
1239,0.19444
1240,0.75
1241,0.5
1242,0.15278
1243,0.069444
1244,0.83333
1245,0.88889
1246,0.73611
1247,0.69444
1248,0.70833
1249,0.55556
1250,0.27778
1251,0.097222
1252,0.20833
1253,0.30556
1254,0.59722
1255,0.44444
1256,0.23611
1257,0.5
1258,0.625
1259,0.72222
1260,0.66667
1261,0.61111
1262,0.48611
1263,0.52778
1264,0.45833
1265,0.63889
1266,0.5
1267,0.68056
1268,0.5
1269,0.5
1270,0.5
1271,0.5
1272,0.5
1273,0.43056
1274,0.47222
1275,0.5
1276,0.55556
1277,0.30556
1278,0.027778
1279,0.5
1280,0.58333
1281,0.5
1282,0.73611
1283,0.5
1284,0.51389
1285,0.5
1286,0.38889
1287,0.36111
1288,0.52778
1289,0.54167
1290,0.44444
1291,0.58333
1292,0.43056
1293,0.56944
1294,0.66667
1295,0.77778
1296,0.72222
1297,0.59722
1298,0.77778
1299,0.81944
1300,0.81944
1301,0.875
1302,0.80556
1303,0.72222
1304,0.5
1305,0.54167
1306,0.56944
1307,0.55556
1308,0.47222
1309,0.125
1310,0.11111
1311,0.027778
1312,0.73611
1313,0.73611
1314,0.48611
1315,0.375
1316,0.66667
1317,0.55556
1318,0.51389
1319,0.44444
1320,0.65278
1321,0.5
1322,0.5
1323,0.43056
1324,0.625
1325,0.55556
1326,0.5
1327,0.5
1328,0.33333
1329,0.38889
1330,0.5
1331,0.52778
1332,0.66667
1333,0.52778
1334,0.34722
1335,0.375
1336,0.27778
1337,0.61111
1338,0.5
1339,0.5
1340,0.76389
1341,0.44444
1342,0.5
1343,0.5
1344,0.44444
1345,0.63889
1346,0.61111
1347,0.27778
1348,0.63889
1349,0.63889
1350,0.5
1351,0.5
1352,0.5
1353,0.55556
1354,0.5
1355,0.77778
1356,0.41667
1357,0.33333
1358,0.55556
1359,0.66667
1360,0.48611
1361,0.55556
1362,0.69444
1363,0.55556
1364,0.5
1365,0.23611
1366,0.25
1367,0.5
1368,0.61111
1369,0.5
1370,0.13889
1371,0.11111
1372,0.38889
1373,0.41667
1374,0.34722
1375,0.47222
1376,0.15278
1377,0.18056
1378,0.31944
1379,0.083333
1380,0.16667
1381,0.13889
1382,0.15278
1383,0.22222
1384,0.15278
1385,0.36111
1386,0.45833
1387,0.84722
1388,0.72222
1389,0.77778
1390,0.63889
1391,0.73611
1392,0.55556
1393,0.72222
1394,0.52778
1395,0.47222
1396,0.47222
1397,0.44444
1398,0.66667
1399,0.16667
1400,0.5
1401,0.79167
1402,0.75
1403,0.22222
1404,0.44444
1405,0.30556
1406,0.625
1407,0.52778
1408,0.625
1409,0.20833
1410,0.68056
1411,0.41667
1412,0.51389
1413,0.55556
1414,0.11111
1415,0.20833
1416,0.25
1417,0.22222
1418,0.625
1419,0.30556
1420,0.72222
1421,0.76389
1422,0.25
1423,0.86111
1424,0.875
1425,0.29167
1426,0.36111
1427,0.31944
1428,0.48611
1429,0.58333
1430,0.77778
1431,0.75
1432,0.75
1433,0.76389
1434,0.76389
1435,0.80556
1436,0.63889
1437,0.47222
1438,0.38889
1439,0.34722
1440,0.43056
1441,0.5
1442,0.44444
1443,0.27778
1444,0.48611
1445,0.69444
1446,0.66667
1447,0.70833
1448,0.72222
1449,0.56944
1450,0.68056
1451,0.44444
1452,0.72222
1453,0.80556
1454,0.68056
1455,0.80556
1456,0.5
1457,0.40278
1458,0.38889
1459,0.5
1460,0.18056
1461,0.29167
1462,0.75
1463,0.63889
1464,0.63889
1465,0.66667
1466,0.20833
1467,0.45833
1468,0.52778
1469,0.34722
1470,0.59722
1471,0.52778
1472,0.625
1473,0.63889
1474,0.61111
1475,0.66667
1476,0.375
1477,0.36111
1478,0.73611
1479,0.29167
1480,0.40278
1481,0.47222
1482,0.29167
1483,0.40278
1484,0.54167
1485,0.66667
1486,0.65278
1487,0.59722
1488,0.38889
1489,0.38889
1490,0.27778
1491,0.48611
1492,0.52778
1493,0.34722
1494,0.26389
1495,0.72222
1496,0.77778
1497,0.47222
1498,0.55556
1499,0.875
1500,0.84722
1501,0.69444
1502,0.69444
1503,0.81944
1504,0.5
1505,0.47222
1506,0.47222
1507,0.33333
1508,0.56944
1509,0.80556
1510,0.56944
1511,0.80556
1512,0.5
1513,0.43056
1514,0.5
1515,0.44444
1516,0.48611
1517,0.38889
1518,0.48611
1519,0.55556
1520,0.55556
1521,0.25
1522,0.23611
1523,0.80556
1524,0.83333
1525,0.86111
1526,0.77778
1527,0.72222
1528,0.80556
1529,0.33333
1530,0.22222
1531,0.27778
1532,0.86111
1533,0.70833
1534,0.66667
1535,0.66667
1536,0.48611
1537,0.52778
1538,0.18056
1539,0.65278
1540,0.81944
1541,0.79167
1542,0.58333
1543,0.72222
1544,0.88889
1545,0.80556
1546,0.69444
1547,0.625
1548,0.58333
1549,0.5
1550,0.5
1551,0.44444
1552,0.069444
1553,0.94444
1554,1.0
1555,0.84722
1556,0.77778
1557,0.73611
1558,0.77778
1559,0.66667
1560,0.69444
1561,0.80556
1562,0.77778
1563,0.83333
1564,0.65278
1565,0.68056
1566,0.66667
1567,0.27778
1568,0.23611
1569,0.91667
1570,0.91667
1571,0.055556
1572,0.44444
1573,0.34722
1574,0.23611
1575,0.88889
1576,0.90278
1577,0.91667
1578,0.84722
1579,0.30556
1580,0.25
1581,0.27778
1582,0.81944
1583,0.77778
1584,0.38889
1585,0.38889
1586,0.125
1587,0.83333
1588,0.84722
1589,0.88889
1590,0.73611
1591,0.73611
1592,0.61111
1593,0.44444
1594,0.45833
1595,0.54167
1596,0.38889
1597,0.65278
1598,0.68056
1599,0.097222
1600,0.13889
1601,0.27778
1602,0.41667
1603,0.33333
1604,0.44444
1605,0.38889
1606,0.45833
1607,0.47222
1608,0.375
1609,0.26389
1610,0.30556
1611,0.5
1612,0.23611
1613,0.45833
1614,0.27778
1615,0.22222
1616,0.30556
1617,0.63889
1618,0.77778
1619,0.625
1620,0.5
1621,0.66667
1622,0.76389
1623,0.16667
1624,0.16667
1625,0.69444
1626,0.5
1627,0.22222
1628,0.25
1629,0.61111
1630,0.59722
1631,0.58333
1632,0.80556
1633,0.72222
1634,0.65278
1635,0.86111
1636,0.82292
1637,0.65278
1638,0.58333
1639,0.76389
1640,0.58333
1641,0.58333
1642,0.91667
1643,0.84722
1644,0.84722
1645,0.55556
1646,0.43056
1647,0.72222
1648,0.5
1649,0.69444
1650,0.5
1651,0.22222
1652,0.5
1653,0.77778
1654,0.68056
1655,0.61111
1656,0.34722
1657,0.5
1658,0.61111
1659,0.5
1660,0.5
1661,0.27778
1662,0.125
1663,0.94444
1664,0.94444
1665,0.38889
1666,0.44444
1667,0.45833
1668,0.45833
1669,0.38889
1670,0.44444
1671,0.0
1672,0.055556
1673,0.73611
1674,0.51389
1675,0.84722
1676,0.34722
1677,0.23611
1678,0.45833
1679,0.75
1680,0.75
1681,0.625
1682,0.75
1683,0.65278
1684,0.69444
1685,0.31944
1686,0.29167
1687,0.72222
1688,0.625
1689,0.069444
1690,0.11111
1691,0.75
1692,0.80556
1693,0.61111
1694,0.40278
1695,0.34722
1696,0.30556
1697,0.33333
1698,0.26389
1699,0.30556
1700,0.76389
1701,0.75
1702,0.25
1703,0.66667
1704,0.69444
1705,0.75
1706,0.72222
1707,0.77778
1708,0.67708
1709,0.70833
1710,0.54167
1711,0.88889
1712,0.72222
1713,0.54167
1714,0.40278
1715,0.66667
1716,0.72222
1717,0.29167
1718,0.16667
1719,0.375
1720,0.22222
1721,0.77778
1722,0.59722
1723,0.55556
1724,0.66667
1725,0.72222
1726,0.75
1727,0.33333
1728,0.31944
1729,0.16667
1730,0.52778
1731,0.30556
1732,0.13889
1733,0.125
1734,0.31944
1735,0.11111
1736,0.055556
1737,0.18056
1738,0.40278
1739,0.30556
1740,0.63889
1741,0.75
1742,0.79167
1743,0.75
1744,0.72222
1745,0.5
1746,0.70833
1747,0.27778
1748,0.19444
1749,0.70833
1750,0.59722
1751,0.72222
1752,0.22222
1753,0.61111
1754,0.55556
1755,0.69444
1756,0.76389
1757,0.58333
1758,0.5
1759,0.43056
1760,0.43056
1761,0.68056
1762,0.69444
1763,0.54167
1764,0.51389
1765,0.5
1766,0.34722
1767,0.40278
1768,0.31944
1769,0.23611
1770,0.30556
1771,0.44444
1772,0.34722
1773,0.72222
1774,0.72222
1775,0.77778
1776,0.68056
1777,0.76389
1778,0.75
1779,0.61111
1780,0.27778
1781,0.5
1782,0.5
1783,0.61111
1784,0.61111
1785,0.26389
1786,0.23611
1787,0.29167
1788,0.47222
1789,0.30556
1790,0.66667
1791,0.77778
1792,0.55556
1793,0.55556
1794,0.69444
1795,0.31944
1796,0.27778
1797,0.75
1798,0.81944
1799,0.84722
1800,0.73611
1801,0.69444
1802,0.63889
1803,0.875
1804,0.75
1805,0.65278
1806,0.68056
1807,0.5
1808,0.33333
1809,0.5
1810,0.63889
1811,0.72222
1812,0.55556
1813,0.80556
1814,0.73611
1815,0.75
1816,0.19444
1817,0.27778
1818,0.013889
1819,0.51389
1820,0.68056
1821,0.45833
1822,0.43056
1823,0.875
1824,0.80556
1825,0.86111
1826,0.86111
1827,0.44444
1828,0.31944
1829,0.73611
1830,0.80556
1831,0.33333
1832,0.44444
1833,0.90278
1834,0.93056
1835,0.47222
1836,0.0
1837,0.055556
1838,0.097222
1839,0.125
1840,0.16667
1841,0.95833
1842,0.66667
1843,0.77778
1844,0.69444
1845,0.77778
1846,0.61111
1847,0.68056
1848,0.38889
1849,0.47222
1850,0.52778
1851,0.45833
1852,0.29167
1853,0.66667
1854,0.98611
1855,0.73611
1856,0.625
1857,0.66667
1858,0.75
1859,0.95833
1860,0.31944
1861,0.38889
1862,0.36111
1863,0.40278
1864,0.25
1865,0.27778
1866,0.84722
1867,0.79167
1868,0.69444
1869,0.76389
1870,0.86111
1871,0.81944
1872,0.70833
1873,0.76389
1874,0.77778
1875,0.72222
1876,0.75
1877,0.45833
1878,0.73611
1879,0.77778
1880,0.59722
1881,0.94444
1882,0.79167
1883,0.63889
1884,0.84722
1885,0.84722
1886,0.48611
1887,0.61111
1888,0.16667
1889,0.16667
1890,0.63889
1891,0.625
1892,0.95833
1893,0.77778
1894,0.5
1895,0.36111
1896,0.84722
1897,0.80556
1898,0.72222
1899,0.90278
1900,0.80556
1901,0.73611
1902,0.625
1903,0.81944
1904,0.86111
1905,0.80556
1906,0.90278
1907,0.83333
1908,0.875
1909,0.40278
1910,0.41667
1911,0.55556
1912,0.72222
1913,0.83333
1914,0.63889
1915,0.72222
1916,0.77778
1917,0.5
1918,0.66667
1919,0.5
1920,0.375
1921,0.47222
1922,0.23611
1923,0.22222
1924,0.41667
1925,0.27778
1926,0.375
1927,0.33333
1928,0.16667
1929,0.56944
1930,0.22222
1931,0.38889
1932,0.20833
1933,0.44444
1934,0.41667
